								
					Pilih Cluster>>		 -   	
Brand	Sub Brand AS	Brand Group AS	Description	Barcode (Pieces)	Harga PTT/Sebelum PPN	Kuantiti per Karton/Dus	Harga PPN	Harga Jual ke Konsumen yg Disarankan
								
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Black & White Invisible Original Deodorant Roll On 50ml	8999777004552	 16.620 	24	 18.448 	 23.500 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Black & White Invisible Fresh Deodorant Roll On 50ml	8999777010881	 16.620 	24	 18.448 	 23.500 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Cool Kick Cool Blue Deodorant Roll On 25ml	8999777004514	 10.610 	30	 11.777 	 14.000 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Cool Kick Cool Blue Deodorant Roll On 50ml	8999777004484	 16.790 	24	 18.637 	 23.500 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Cool Kick Freezy Green Deodorant Roll On 50ml	8999777016784	 16.790 	24	 18.637 	 23.500 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Deep Deodorant Roll On 25ml	8999777010591	 10.610 	30	 11.777 	 14.000 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Deep Deodorant Roll On 50ml	8999777010638	 16.620 	24	 18.448 	 23.500 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Deep Espresso Deodorant Roll On 50ml	8999777014315	 16.620 	24	 18.448 	 23.500 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Silver Protect Deodorant Roll On 50ml	8999777004613	 16.620 	24	 18.448 	 23.500 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Dry Impact Deodorant Roll On 50ml	8999777007270	 16.620 	24	 18.448 	 22.500 
Nivea	Nivea Deodorant	Deo Male	NIVEA MEN Fresh Active Deodorant Roll On 50ml	8999777007355	 16.620 	24	 18.448 	 23.500 
Nivea	Nivea Deodorant	Deo Female	NIVEA Black & White Invisible Original Deodorant Spray 150ml	8999777004880	 44.920 	12	 49.861 	 57.000 
Nivea	Nivea Deodorant	Deo Female	NIVEA Extra Brightening Deodorant Spray 150ml	8999777004828	 44.920 	12	 49.861 	 57.000 
Nivea	Nivea Deodorant	Deo Female	NIVEA Pearl & Beauty Deodorant Spray 150ml	8999777011031	 44.920 	12	 49.861 	 57.000 
Nivea	Nivea Deodorant	Deo Female	NIVEA Brightening Hijab Fresh Deodorant Spray 150ml	8999777015923	 44.920 	12	 49.861 	 57.000 
Nivea	Nivea Deodorant	Deo Female	NIVEA Extra Bright Fresh Lavier Deodorant Spray 150ml	8850029040172	 50.450 	24	 56.000 	 70.000 
